"","U2OS","MCF7","GAMG","LN229","SF295","HEC108","HEC151","HEC251","HEC265","HEC59","HEC6","ISHIKAWAHERAKLIO02ER","JHUEM2","KLE","MFE319","SNGM","AMO1","BL70","EJM","GDM1","HT","KMS11","KU812","LP1","MC116","MOLM16","NOMO1","NUDUL1","OCIAML3","OCILY10","P3HR1","PL21","RPMI8226","SKM1","SUDHL4","SUDHL5","THP1","U937","WSUDLCL2","RCC10RGB","VMRCRCW","C2BBE1","CL34","CL40","COLO205","COLO320","COLO678","CW2","DLD1","GP2D","HCT116","HCT8","HT115","HT29","HT55","KM12","LOVO","LS123","LS180","LS411N","LS513","MDST8","NCIH508","RCM1","RKO","SKCO1","SNU1040","SNU175","SNU61","SNU81","SNUC2A","SNUC4","SNUC5","SW403","SW48","SW480","SW620","SW948","HEPG2","JHH6","SNU398","SNU449","A549","BEN","CAL12T","CALU3","CALU6","CHAGOK1","COLO668","COLO699","CORL23","CORL279","CORL51","CORL88","DMS273","DV90","EBC1","EPLC272H","HARA","HCC1195","HCC1359","HCC15","HCC1833","HCC2108","HCC2935","HCC33","HCC4006","HCC44","HCC78","HCC827","KNS62","LC1SQSF","LCLC103H","LCLC97TM1","LU65","LU99","LXF289","NCIH1048","NCIH1105","NCIH1299","NCIH1355","NCIH1373","NCIH1435","NCIH1437","NCIH1568","NCIH1573","NCIH1666","NCIH1694","NCIH1755","NCIH1781","NCIH1792","NCIH1793","NCIH1836","NCIH1876","NCIH1915","NCIH1930","NCIH1944","NCIH1963","NCIH1975","NCIH2009","NCIH2023","NCIH2029","NCIH2030","NCIH2073","NCIH2081","NCIH2110","NCIH2122","NCIH2126","NCIH2141","NCIH2172","NCIH2286","NCIH23","NCIH2342","NCIH2405","NCIH3255","NCIH358","NCIH441","NCIH460","NCIH522","NCIH596","NCIH650","NCIH661","NCIH727","NCIH810","NCIH82","NCIH841","RERFLCKJ","SCLC21H","SHP77","SKLU1","SQ1","T3M10","VMRCLCD","KYSE140","KYSE410","KYSE450","A2780","CAOV3","COV318","COV362","COV434","COV644","EFO21","EFO27","HEYA8","IGROV1","JHOC5","JHOM1","JHOS4","OAW42","OV7","OV90","OVCAR4","OVCAR8","OVK18","OVKATE","OVMANA","RKN","RMGI","RMUGS","SKOV3","SNU840","TYKNU","CAPAN2","CFPAC1","HPAC","HUPT4","KP3","PANC0327","PANC1005","PATU8902","QGP1","SUIT2","MSTO211H","NCIH2052","NCIH28","PC3","A375","COLO741","G361","HS852T","HS936T","HS944T","SKMEL1","SKMEL28","SKMEL5","G401","HT1080","AGS","FU97","KE97","MKN7","MKN74","NUGC4","SH10TC","HSC2","SCC9","5637","HT1376","KMBC2","RT4","UMUC3"
"zebularine",6.0416,6.7903,NA,6.0284,NA,NA,2.5838,NA,NA,NA,NA,NA,4.908,NA,NA,NA,3.3485,NA,6.4805,6.4938,NA,0.65383,NA,3.1395,NA,4.9167,5.1683,2.5994,6.5542,4.8398,NA,5.8998,3.0751,2.1567,7.1967,2.7482,2.296,2.3127,4.2739,8.0258,NA,NA,7.5873,7.1353,NA,3.7956,5.7706,3.8116,NA,NA,6.7483,7.6018,6.507,8.3979,7.4283,5.4486,6.9082,7.1613,3.6081,NA,NA,7.4989,7.1227,6.7482,6.823,NA,5.5844,2.9164,5.8719,2.8743,NA,2.0628,6.6713,NA,NA,6.91,6.0067,6.3803,9.1533,NA,2.7151,NA,NA,NA,7.1106,NA,NA,NA,NA,7.3754,6.6478,NA,8.1492,NA,NA,NA,NA,NA,NA,7.3356,6.6979,7.0104,7.1522,4.8578,6.8587,NA,6.5809,NA,NA,5.8029,NA,NA,NA,NA,NA,NA,NA,NA,8.1829,NA,NA,NA,NA,NA,NA,NA,NA,5.454,7.2544,4.8106,NA,NA,7.8266,4.203,NA,NA,NA,3.2646,NA,NA,6.2017,NA,7.275,5.2522,5.7303,5.2276,4.0658,NA,8.8282,6.7811,NA,NA,7.2037,NA,10.446,NA,5.5997,6.7114,NA,4.7427,NA,NA,NA,NA,NA,5.0153,NA,4.7605,NA,6.9573,5.8417,6.5792,NA,NA,NA,NA,4.7154,6.931,NA,5.2169,6.1698,7.012,NA,7.1113,NA,6.2975,4.5278,6.1352,NA,8.5042,6.7523,5.7636,6.0147,5.5012,5.8876,5.9577,NA,5.6004,6.2006,6.0921,NA,6.1139,5.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2129,NA,NA,NA,NA,NA,6.813,8.2279,7.6166,NA,6.2568,4.9014,NA,NA,NA,NA,NA,NA,NA,6.5942,NA,NA,NA,NA,NA
"maraviroc",6.8981,6.5248,6.9786,7.1828,7.0364,6.67,6.7502,6.2589,5.4306,6.7024,6.0982,6.6543,7.1956,6.86,6.3583,6.8912,9.285,6.5603,7.2298,6.7609,6.0518,6.5839,7.0912,6.7803,9.305,7.3896,7.3594,5.0618,7.1085,6.1512,5.7147,7.3841,7.2761,6.6834,7.6177,7.165,6.9697,7.541,7.1222,7.5885,6.6068,5.3404,6.9754,7.8738,7.3208,6.4056,6.9632,6.5547,6.9513,5.6082,7.0384,7.4019,7.1709,7.0732,7.2331,7.1417,6.6758,6.8328,7.4646,6.8536,6.5888,7.1497,7.3,6.9034,6.985,6.5759,7.6652,6.7197,7.3016,7.1037,6.438,7.1542,7.2229,6.719,5.6872,7.0083,7.1474,7.4694,7.0642,6.7233,6.6654,7.3565,6.6316,7.2267,7.7266,6.3822,6.3725,5.9957,6.6564,7.17,7.403,5.9667,9.8434,5.985,5.8732,7.1976,7.0588,6.7003,6.5727,7.201,7.5228,6.7436,7.2392,7.4002,6.8184,6.2592,6.9677,7.0593,5.9391,7.2545,6.2119,6.5013,6.8066,6.5841,6.713,6.5779,6.7709,5.8893,9.6324,6.8158,6.3455,5.8952,6.4652,6.8308,6.4009,6.6008,5.3919,6.9134,7.4325,6.779,6.2911,6.6023,7.2516,6.9326,6.7703,5.9106,6.057,5.8818,6.1811,6.71,7.4518,6.4398,7.1214,7.1134,7.0445,6.8197,7.3539,5.7585,7.9245,7.182,7.1247,5.9854,7.2892,6.6214,7.3166,6.1889,7.2392,7.0775,5.7072,7.1495,6.3244,7.0963,6.8965,5.8656,6.0877,6.7721,6.9076,7.4661,6.74,7.1151,7.1543,6.9665,6.7359,6.6775,6.6818,6.6855,7.8342,7.0398,6.6565,7.1851,6.2365,7.2678,6.2169,7.1234,6.872,7.0219,6.9849,7.2348,6.0553,7.2581,7.0042,7.6352,6.5618,7.0342,6.3999,6.3299,7.2038,7.3363,6.3913,6.278,6.8469,6.6079,7.0947,6.662,7.0029,6.8946,6.5384,6.6743,6.4524,7.0401,6.715,6.8212,6.8521,6.4826,6.9048,6.4421,6.3097,7.3624,6.2983,6.5124,6.1579,5.9233,6.5756,7.673,7.365,7.5949,6.1373,7.0714,7.7287,6.7396,4.9331,6.9033,6.7544,4.9233,6.5802,6.3277,7.2259,6.5297,6.8423,6.2189,6.4626,6.8515
"DL-TBOA",6.8593,6.6805,NA,6.914,NA,NA,6.4179,NA,NA,NA,NA,NA,7.3062,NA,NA,NA,8.4163,NA,7.3639,6.8035,NA,6.5145,NA,7.1736,NA,7.4744,7.2002,7.9214,6.5807,6.3086,NA,7.2275,6.9869,6.7511,7.5938,7.1619,7.1047,8.3524,7.2589,7.7455,NA,NA,7.6565,7.4899,NA,7.054,7.0377,7.2059,NA,NA,6.9257,7.2399,7.1393,7.259,7.5092,6.9833,7.066,6.9086,6.992,NA,NA,7.0387,7.1416,6.9483,7.2867,NA,7.4992,6.3683,7.2624,6.7833,NA,6.8716,7.3294,NA,NA,6.9374,7.0412,7.2493,7.4476,NA,6.4744,NA,NA,NA,7.5984,NA,NA,NA,NA,7.295,7.6424,NA,7.2311,NA,NA,NA,NA,NA,NA,7.2946,7.4305,6.6968,7.1855,7.2071,7.1735,NA,6.976,NA,NA,7.1097,NA,NA,NA,NA,NA,NA,NA,NA,7.0284,NA,NA,NA,NA,NA,NA,NA,NA,7.1738,7.7155,6.9521,NA,NA,7.4973,6.916,NA,NA,NA,7.3141,NA,NA,7.3177,NA,7.1226,7.0426,7.3142,8.0258,7.3838,NA,7.1588,7.167,NA,NA,7.1668,NA,7.2619,NA,7.3056,7.2488,NA,6.6801,NA,NA,NA,NA,NA,7.0128,NA,7.866,NA,7.1857,7.2336,7.0389,NA,NA,NA,NA,7.6378,6.905,NA,7.03,6.9051,7.1853,NA,7.247,NA,6.778,6.9781,7.3016,NA,7.1108,7.3447,7.5076,6.3147,6.8372,6.2687,6.2631,NA,7.3407,6.8258,6.2818,NA,6.6694,7.0524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9628,NA,NA,NA,NA,NA,7.2574,7.0843,7.2543,NA,7.1873,7.5719,NA,NA,NA,NA,NA,NA,NA,7.2226,NA,NA,NA,NA,NA
"triptolide",2.1664,3.2026,3.8382,4.0385,NA,2.1914,1.0032,NA,NA,4.0872,NA,2.9563,2.851,1.9946,NA,4.7018,5.3965,4.1448,1.6086,2.0487,NA,1.1449,NA,1.9996,NA,2.965,1.9435,1.7773,0.8147,3.2985,NA,1.6062,1.8576,0.73601,4.4098,2.0319,1.4543,1.5903,3.6578,4.9477,NA,NA,1.9105,3.5355,NA,3.8856,4.3727,2.4147,NA,NA,1.164,2.1102,3.5504,7.2853,4.4654,4.6193,3.5694,3.6998,0.72959,NA,NA,2.9387,2.9377,4.0686,0.97628,NA,5.9155,2.6907,4.6758,1.6959,NA,1.8697,2.4195,NA,NA,4.8541,3.8407,3.4336,3.7432,5.0292,2.0404,4.2595,NA,NA,4.4879,NA,NA,NA,2.1505,2.9067,2.2678,NA,3.7512,NA,NA,NA,NA,NA,NA,4.3271,3.9693,3.4155,3.6305,3.0643,6.4794,NA,3.8072,NA,NA,3.7023,NA,NA,NA,NA,NA,NA,2.8884,NA,4.682,NA,NA,NA,3.1084,NA,NA,NA,NA,3.3752,3.8182,2.7931,NA,NA,3.268,4.8977,3.847,4.4719,NA,2.6713,NA,2.706,5.5929,NA,4.7121,5.509,4.3599,5.2166,3.8849,NA,5.2018,3.8938,1.9239,NA,6.3854,NA,4.9832,NA,3.0861,3.3277,NA,1.3384,NA,NA,NA,NA,NA,2.5769,4.0261,1.2901,NA,3.5443,3.0666,2.8639,NA,NA,NA,NA,1.6662,2.8421,6.1067,3.7808,2.599,3.5524,NA,4.3196,NA,4.2378,1.2106,3.5633,2.3289,3.6585,4.1325,3.992,1.2605,2.6396,2.5806,3.1378,4.5683,2.9381,3.803,3.0331,NA,3.7593,2.273,NA,NA,NA,NA,NA,NA,NA,2.8704,NA,NA,NA,NA,NA,2.8192,2.5711,NA,NA,0.69369,NA,NA,2.182,4.271,3.6819,NA,2.7957,2.6556,NA,NA,NA,4.5828,NA,NA,NA,4.5496,NA,NA,NA,NA,NA
"Bax channel blocker",5.2507,4.7207,4.7614,5.0649,6.3524,3.899,4.0691,4.6651,4.8445,5.7102,4.76,4.1358,5.3997,4.7501,4.7853,6.3338,6.5888,3.8274,5.7519,4.8957,4.2481,3.7641,3.829,4.6044,6.3752,5.5936,4.5219,6.2646,3.2138,5.1144,4.46,4.0293,5.3266,4.6539,6.2984,4.951,4.6312,4.6611,4.3065,6.919,5.3409,4.0533,5.2427,5.456,4.5755,4.7206,5.1248,4.0668,4.8882,4.7598,5.3657,5.8256,4.7661,5.5695,5.3268,4.1684,5.4383,5.6863,3.9075,5.3006,3.8218,5.7404,4.9637,5.3058,5.081,4.9264,5.7632,3.7008,5.0435,4.37,4.4009,4.6474,4.2524,5.6208,3.7436,5.5789,5.8881,4.8884,5.8826,5.2235,4.5677,5.1455,4.3379,4.2903,5.1099,5.741,4.3986,3.6361,4.2474,5.2291,6.3388,4.2317,5.5004,4.9551,3.7578,5.6134,4.2817,4.2393,4.905,6.6733,5.6173,5.7727,4.9501,5.6819,5.0761,4.7644,5.1203,5.1017,4.0429,6.3601,4.2405,4.6236,5.117,5.4327,5.6058,4.8897,3.9972,3.2907,5.3255,3.7792,5.0983,4.1476,4.7512,5.6594,3.8491,3.743,3.2091,5.0357,6.067,5.7539,4.3417,4.7372,4.2316,5.0649,5.0014,4.3169,4.3726,6.6529,4.3069,3.8913,5.548,4.0826,6.4115,6.0622,4.9388,5.8185,5.2557,4.0381,5.8784,5.8674,5.0303,4.7926,3.5821,4.1704,5.9557,4.2643,5.2769,5.4928,4.7572,4.9676,4.706,4.3011,3.8859,3.0757,3.9203,5.4562,5.6941,4.4885,3.237,5.1856,5.458,4.942,4.1775,4.1251,4.7474,5.5686,5.6806,5.6178,6.0109,5.637,3.0943,5.527,6.3393,6.3877,4.0315,5.5935,5.9971,6.1797,4.6135,7.2675,6.0884,5.3669,4.5561,4.615,3.4196,3.7771,5.6262,6.0976,3.998,4.0523,6.1671,5.1551,5.2134,4.0757,4.925,5.5138,4.7148,4.2751,4.7017,5.9865,4.2245,4.2718,5.3478,4.1868,5.5423,4.2543,3.9116,4.91,4.3208,4.9205,4.0044,4.1379,4.9092,5.5005,6.0718,5.8952,4.5049,5.4417,4.1909,5.7873,3.909,5.3457,5.4063,4.2063,6.5671,4.5396,6.2362,4.037,4.3824,5.0715,3.6773,5.7462
"CCT036477",6.5582,6.0876,5.9289,5.3186,NA,6.4533,5.038,NA,NA,6.8387,NA,6.4462,6.1954,6.5545,NA,6.5503,8.071,5.0715,5.6786,4.904,NA,4.3396,NA,4.7518,NA,5.8516,5.4693,6.0604,4.2021,5.3035,NA,5.1621,5.6435,4.2168,5.5204,6.1179,5.2307,5.015,5.6287,5.8583,NA,NA,7.1564,7.6235,NA,4.8506,6.2128,5.8956,NA,NA,5.9494,7.2014,6.7222,7.4216,7.0685,6.7409,6.1802,6.2981,6.2696,NA,NA,6.0719,5.9557,6.7,6.1572,NA,6.7528,6.3143,7.2824,5.7531,NA,6.8489,6.3338,NA,NA,6.406,6.5698,7.2001,7.2601,6.3527,5.4675,6.2041,NA,NA,6.9379,NA,NA,NA,5.9875,6.0467,6.8275,NA,7.8797,NA,NA,NA,NA,NA,NA,6.763,6.7013,6.5525,6.5838,6.6356,6.4504,NA,6.2845,NA,NA,6.6208,NA,NA,NA,NA,NA,NA,5.79,NA,4.0895,NA,NA,NA,5.4846,NA,NA,NA,NA,4.3428,6.9406,6.0645,NA,NA,4.5288,4.0521,6.8657,6.3368,NA,3.8438,NA,6.1098,7.0801,NA,7.0049,6.5738,5.5042,5.6064,6.921,NA,8.0265,6.552,6.2428,NA,5.8373,NA,7.2248,NA,6.1239,7.0436,NA,6.4997,NA,NA,NA,NA,NA,5.7567,6.162,6.2313,NA,6.1302,6.6896,6.1949,NA,NA,NA,NA,5.9568,6.8001,6.4815,7.042,4.5682,6.5368,NA,6.5265,NA,5.6417,6.3021,5.6446,6.5305,7.4543,6.4607,6.5783,5.4698,4.9048,3.9638,4.0497,6.846,6.3816,5.5493,5.311,NA,6.3892,5.9153,NA,NA,NA,NA,NA,NA,NA,6.3959,NA,NA,NA,NA,NA,4.8469,6.2971,NA,NA,5.2602,NA,NA,6.6088,6.6659,6.2671,NA,6.2538,5.9151,NA,NA,NA,6.764,NA,NA,NA,7.1398,NA,NA,NA,NA,NA
"sirolimus",4.8912,3.4764,4.5308,5.3266,3.7425,4.2254,3.5726,4.1432,3.6345,4.9055,3.9332,2.2605,3.526,4.8217,1.8816,6.5653,6.8402,1.8709,4.6782,4.2762,2.9493,2.9819,3.2225,3.3581,3.0516,5.0158,3.9653,2.2486,2.7835,2.4139,1.2826,2.7003,4.0686,4.1139,2.8776,0.31843,4.4454,3.251,2.3113,6.5693,5.3902,5.0093,6.0164,6.0059,4.9367,4.5124,6.8283,6.6533,4.5053,4.8691,5.2924,4.881,5.9879,5.8729,5.9545,4.2384,4.8098,6.0305,5.4723,4.288,3.3283,4.9811,4.6336,6.1731,6.2112,4.4879,5.862,5.9053,7.3073,4.8671,4.2613,4.4217,5.8749,4.8172,4.0925,4.8508,5.2648,4.1075,7.0609,6.2287,4.3784,4.6322,4.2265,4.8518,4.6846,4.4758,4.9754,4.4643,4.9019,5.519,5.9276,2.7844,4.9286,5.3154,3.2892,7.4685,2.1818,3.4092,4.1395,5.8211,8.4409,4.8762,4.5923,5.998,4.126,5.5656,4.1434,4.063,3.5403,5.9999,3.4043,4.0411,5.662,4.2728,6.248,3.3887,4.4448,2.6076,4.3145,3.6161,4.3586,4.179,4.3227,5.3992,3.206,4.5386,3.7081,5.0469,5.4539,5.0339,5.0099,3.5313,5.4989,4.1348,5.6544,4.8243,2.4486,4.9072,4.3325,4.4146,5.6983,4.0788,5.0764,4.6129,4.7879,4.881,5.6466,4.1518,6.7875,5.0558,3.9869,3.4083,5.37,4.5934,4.3916,3.5938,5.3104,7.1394,4.592,4.1914,5.4345,5.4264,4.2522,3.6466,5.2622,5.2425,4.2363,5.7324,4.4057,4.4833,5.8954,5.8612,3.3815,3.3018,3.1603,5.9348,5.5145,6.4564,5.808,6.3394,5.1338,4.7265,5.511,4.1524,3.6508,4.0586,4.7362,4.375,6.0516,7.3416,5.9567,3.9005,3.8241,3.8076,1.9515,3.8517,5.0918,4.3543,3.5812,4.2581,5.262,4.3463,4.2786,4.8983,4.5975,5.9257,4.7573,4.4683,4.2664,4.1563,4.1516,4.4382,5.6392,1.7394,5.3642,5.371,2.4462,5.4638,4.6551,4.5628,4.4402,5.6393,4.8776,3.9271,6.2816,6.4544,2.763,5.7446,4.6194,5.4961,1.6292,5.096,5.464,4.1236,5.1597,2.7156,5.6546,3.7563,4.1599,4.8898,2.8687,4.3819
"OSW-1",0.78231,0.59754,2.082,1.1028,NA,2.3532,0.19387,NA,NA,5.0473,NA,0.12199,0.22617,1.9673,NA,0.44163,0.20793,0.077796,0.067289,0.058194,NA,0.38132,NA,2.1365,NA,0.31432,0.10211,0.28226,0.057059,0.11418,NA,0.058527,0.048833,0.071561,0.047632,0.10708,0.22216,0.062227,0.04871,4.5874,NA,NA,0.51557,2.8323,NA,3.1082,2.1674,5.1574,NA,NA,0.49376,2.5631,1.3937,4.6309,0.98949,0.43169,2.0253,2.3764,0.50701,NA,NA,0.46484,0.42328,1.2205,1.2284,NA,0.29485,0.9224,1.8931,3.5312,NA,0.78697,0.29463,NA,NA,3.8329,0.53042,1.0967,0.32772,1.8686,1.3132,2.3956,NA,NA,2.6427,NA,NA,NA,0.10288,0.67898,0.38572,NA,0.10135,NA,NA,NA,NA,NA,NA,2.9296,5.8114,1.0684,1.3477,0.464,3.0462,NA,0.39394,NA,NA,0.48442,NA,NA,NA,NA,NA,NA,0.2482,NA,0.95104,NA,NA,NA,0.57204,NA,NA,NA,NA,0.1952,0.98278,4.3448,NA,NA,0.23669,0.12801,1.6316,1.5036,NA,0.34234,NA,0.83404,1.7999,NA,3.3162,0.49057,0.11506,4.4788,1.5538,NA,2.7167,2.2519,1.9,NA,4.1841,NA,1.6388,NA,0.72344,2.1208,NA,0.69023,NA,NA,NA,NA,NA,0.81286,3.884,0.10756,NA,0.1935,1.41,0.8061,NA,NA,NA,NA,0.079178,0.21625,3.1248,2.2671,0.24177,0.81998,NA,3.9619,NA,2.4453,0.19669,1.7159,1.0928,4.1701,2.3029,0.41119,0.48027,2.3141,0.12715,0.93251,2.0732,1.1306,0.39507,0.31227,NA,1.9041,0.61776,NA,NA,NA,NA,NA,NA,NA,3.6485,NA,NA,NA,NA,NA,1.5296,0.4608,NA,NA,0.62652,NA,NA,1.5301,3.5181,4.8557,NA,0.92287,0.82754,NA,NA,NA,1.3485,NA,NA,NA,0.54406,NA,NA,NA,NA,NA
"brefeldin A",4.5117,5.2107,5.4201,5.2252,NA,5.9149,3.6122,NA,NA,5.5052,NA,5.3119,4.5437,5.1866,NA,4.6847,3.9791,6.5328,5.3047,5.3132,NA,5.5112,NA,5.8302,NA,6.183,3.0679,4.3289,4.8337,4.7534,NA,4.5266,5.2727,6.3231,5.5849,5.8587,6.0767,6.9958,6.3255,3.5439,NA,NA,3.3666,4.293,NA,4.6229,5.0709,3.8002,NA,NA,5.5963,4.6067,4.4777,5.2357,4.1644,4.4013,4.0904,4.5785,3.7687,NA,NA,4.476,2.8795,4.6894,4.6421,NA,5.308,3.417,5.6903,4.0607,NA,4.3283,3.6789,NA,NA,5.6405,6.0841,2.1345,4.397,6.7251,6.5909,4.7302,NA,NA,4.7896,NA,NA,NA,3.8114,4.7568,5.4821,NA,6.2792,NA,NA,NA,NA,NA,NA,5.5241,5.2495,5.9607,3.7845,5.4006,6.0313,NA,5.7082,NA,NA,5.7139,NA,NA,NA,NA,NA,NA,4.3101,NA,2.8842,NA,NA,NA,5.0688,NA,NA,NA,NA,6.4629,5.5926,5.0123,NA,NA,3.6367,5.8716,6.1093,4.2574,NA,5.2116,NA,NA,6.1534,NA,5.9999,4.971,6.42,6.0796,4.3536,NA,4.641,6.0856,5.3998,NA,5.646,NA,5.8707,NA,4.4608,6.4264,NA,6.015,NA,NA,NA,NA,NA,5.0523,5.6831,5.3418,NA,4.4146,5.9179,5.3653,NA,NA,NA,NA,4.5581,4.8265,6.28,6.0252,5.1772,4.1974,NA,6.0611,NA,6.0268,4.5431,4.5539,5.7392,6.5656,4.7471,4.3431,5.4857,3.8766,5.3868,6.1159,5.6104,3.5343,3.8717,5.4337,NA,5.795,4.6541,NA,NA,NA,NA,NA,NA,NA,4.6199,NA,NA,NA,NA,NA,4.2727,5.0363,NA,NA,3.8019,NA,NA,4.9875,7.112,2.8299,NA,4.7973,3.1162,NA,NA,NA,6.2729,NA,NA,NA,3.3958,NA,NA,NA,NA,NA
"itraconazole",6.3121,4.863,4.2801,5.2179,4.5178,5.768,3.9002,5.7766,3.3363,6.4323,5.4115,5.5504,5.3505,6.0841,5.735,5.7308,5.3032,3.2501,5.5772,4.0896,5.0105,3.3768,3.4276,3.7501,4.308,5.9031,5.362,3.2837,4.3532,6.3475,5.322,2.9352,4.7864,3.8355,4.7065,4.1177,3.867,4.4203,2.7037,2.8923,5.7509,4.5957,5.031,5.8854,5.7845,NA,6.3379,4.9477,6.4959,6.1169,6.3279,6.7945,5.7581,5.3747,5.9706,5.0476,6.1791,5.7763,3.4744,6.0345,3.0955,5.6257,5.833,5.0591,6.4783,5.0713,5.6022,5.3545,4.7981,5.9796,5.799,3.9114,3.9464,6.121,4.9338,4.4886,5.164,5.259,4.4454,7.1358,6.2031,5.4721,4.6093,5.5579,4.868,4.3525,5.5031,5.1135,4.7205,4.5333,6.7078,4.1587,4.2964,6.9913,3.5824,7.4923,4.477,5.7434,4.9543,6.1941,6.7942,6.8844,5.9428,4.9254,5.9304,5.2874,5.1563,4.9588,4.3909,5.8387,3.9602,5.8553,6.106,3.454,5.2646,4.3629,4.8759,4.6415,4.4478,5.694,5.6236,5.3269,5.3418,5.5491,3.9803,6.8131,3.4791,6.3554,6.659,6.7061,4.4749,6.0811,6.608,5.2312,6.7578,5.623,4.702,5.0083,5.7288,5.5312,5.498,4.8141,6.023,4.8827,4.1688,5.5176,5.2341,5.8854,7.5247,5.9789,6.4044,5.6331,6.3991,6.3262,5.9033,6.0506,6.1264,6.6863,6.2866,5.5045,7.0189,5.9914,5.6639,2.1438,1.9988,5.4092,5.2558,2.1669,4.8192,6.0796,6.8558,6.0662,4.7672,4.7648,3.3326,6.1852,4.3553,6.5913,6.9319,6.8423,2.9345,5.8809,6.8887,6.8077,4.9425,5.8723,5.2534,5.6845,5.4783,7.5835,6.5951,5.0972,4.7557,4.9154,4.5618,5.9516,5.2212,5.4171,4.5824,5.0215,6.7973,6.208,3.9954,5.3471,4.4733,4.7043,2.8017,5.5939,4.8917,5.9275,4.1779,6.6679,4.0296,3.6611,6.5505,5.7234,5.994,5.6748,6.6751,4.2363,3.994,4.6782,6.1794,6.7756,7.6593,5.8887,5.0855,5.9461,3.9603,3.6495,4.3014,6.1479,5.3145,5.1659,5.9858,4.2086,5.1784,5.3419,5.9284,5.7961,4.2644,5.3052
"dexamethasone",6.4561,5.7531,6.4598,6.3336,8.2068,7.1586,6.6313,6.818,6.6107,6.7808,7.207,6.4589,6.5851,7.001,6.4312,6.9552,9.2459,3.005,6.3317,4.7481,6.1477,3.2288,8.0596,4.0615,8.3823,7.8116,5.8601,5.2026,5.3645,2.1476,2.6207,7.7602,3.3916,5.5576,5.0949,0.22262,6.7385,6.3856,5.1185,6.513,6.9043,7.0855,6.8918,7.1352,7.1135,6.8809,7.0944,6.7934,7.0363,7.7702,7.0736,7.0883,6.8418,6.4988,6.867,6.8739,6.8184,6.7429,7.3037,7.0099,7.5259,6.762,6.9143,6.9333,6.6311,7.2239,4.8879,7.0711,6.9562,7.5728,7.3137,6.9019,7.1081,6.6737,6.5822,7.0473,7.0084,7.4404,6.9047,10.525,6.6857,6.7445,4.5624,7.5073,6.5535,7.6103,7.1965,6.2457,7.1856,6.9219,7.2631,6.8931,7.4911,6.8911,6.2122,7.1444,5.3752,6.7716,6.1558,7.6115,6.0267,6.6025,7.6528,6.9129,7.4395,6.8789,7.0832,6.675,5.9922,6.6542,6.5941,6.0554,6.8849,9.09,6.6913,7.4847,7.3692,6.5108,6.8364,7.0714,7.0609,7.1166,7.4628,5.2419,6.2599,5.9381,5.0792,6.3249,6.7901,7.6815,6.3827,6.7102,6.9453,7.036,7.3071,6.4548,4.8528,7.1004,7.1807,7.3749,5.0131,7.2373,6.6327,4.8675,7.5684,9.2135,6.4898,7.3033,7.6831,7.2027,6.5867,6.6792,7.0803,6.2868,8.2428,7.688,7.2064,7.057,6.7643,6.0163,7.7593,7.0184,6.9069,6.8602,6.1916,6.7682,6.5492,7.1294,6.976,5.6623,7.4133,7.1215,7.1548,6.8464,5.9429,5.5705,7.1377,6.3015,6.919,7.656,6.9964,5.3447,7.2929,6.7867,6.7936,6.6504,7.1276,7.2258,6.1792,7.1933,6.9133,7.2935,7.0452,6.3982,6.4909,6.7316,7.0526,7.2601,6.6476,5.8375,6.9126,4.9749,7.1846,5.9914,6.5511,5.9905,6.2054,5.475,6.1062,8.4337,7.0776,7.9951,7.0588,5.7178,6.6633,6.7513,6.5835,6.8928,7.126,6.8152,6.989,6.8154,7.9275,6.51,6.6275,7.3345,6.426,8.3058,8.0833,6.9571,3.0365,6.6333,6.7431,5.9155,7.2658,7.4936,6.8212,6.2154,6.7488,6.367,6.6648,6.6606
